,Condition,Drug,DrugClass,Filename,Plate,Well
584,Caspaseinhibitor1(zvad)50.0,Caspaseinhibitor1(zvad),Inactive,Week4_27801/Inactive/Caspaseinhibitor1(zvad)/FL_Week4_27801_D03_0.png,Week4_27801,D03
585,Caspaseinhibitor1(zvad)0.05,Caspaseinhibitor1(zvad),Inactive,Week4_27801/Inactive/Caspaseinhibitor1(zvad)/FL_Week4_27801_D09_0.png,Week4_27801,D09
586,Caspaseinhibitor1(zvad)15.0,Caspaseinhibitor1(zvad),Inactive,Week4_27801/Inactive/Caspaseinhibitor1(zvad)/FL_Week4_27801_D04_0.png,Week4_27801,D04
587,Cyclohexamide15.0,Cyclohexamide,Proteinsynthesis,Week4_27801/Proteinsynthesis/Cyclohexamide/FL_Week4_27801_B04_0.png,Week4_27801,B04
588,Caspaseinhibitor1(zvad)0.015,Caspaseinhibitor1(zvad),Inactive,Week4_27801/Inactive/Caspaseinhibitor1(zvad)/FL_Week4_27801_D10_0.png,Week4_27801,D10
589,Okadaicacid0.0002,Okadaicacid,Inactive,Week4_27801/Inactive/Okadaicacid/FL_Week4_27801_F09_0.png,Week4_27801,F09
590,Dmso0.0,Dmso,Inactive,Week4_27801/Inactive/Dmso/FL_Week4_27801_F11_0.png,Week4_27801,F11
591,Cyclohexamide0.05,Cyclohexamide,Inactive,Week4_27801/Inactive/Cyclohexamide/FL_Week4_27801_B09_0.png,Week4_27801,B09
592,Dmso0.0,Dmso,Inactive,Week4_27801/Inactive/Dmso/FL_Week4_27801_G11_0.png,Week4_27801,G11
593,Caspaseinhibitor1(zvad)0.15,Caspaseinhibitor1(zvad),Inactive,Week4_27801/Inactive/Caspaseinhibitor1(zvad)/FL_Week4_27801_D08_0.png,Week4_27801,D08
594,Neomycin10.0,Neomycin,Inactive,Week4_27801/Inactive/Neomycin/FL_Week4_27801_E03_0.png,Week4_27801,E03
595,Cyclohexamide5.0,Cyclohexamide,Proteinsynthesis,Week4_27801/Proteinsynthesis/Cyclohexamide/FL_Week4_27801_B05_0.png,Week4_27801,B05
596,Az2580.1,Az258,Aurora,Week4_27801/Aurorakinaseinhibitor/Az258/FL_Week4_27801_C08_0.png,Week4_27801,C08
597,Az25810.0,Az258,Aurora,Week4_27801/Aurorakinaseinhibitor/Az258/FL_Week4_27801_C04_0.png,Week4_27801,C04
598,Mitomycinc0.01,Mitomycinc,Inactive,Week4_27801/Inactive/Mitomycinc/FL_Week4_27801_G09_0.png,Week4_27801,G09
599,Taxol0.3,Taxol,MT,Week4_27801/MT/Taxol/FL_Week4_27801_B11_0.png,Week4_27801,B11
600,Az2580.01,Az258,Inactive,Week4_27801/Inactive/Az258/FL_Week4_27801_C10_0.png,Week4_27801,C10
601,Mitomycinc0.1,Mitomycinc,Inactive,Week4_27801/Inactive/Mitomycinc/FL_Week4_27801_G07_0.png,Week4_27801,G07
602,Dmso0.0,Dmso,Inactive,Week4_27801/Inactive/Dmso/FL_Week4_27801_B02_0.png,Week4_27801,B02
603,Neomycin0.3,Neomycin,Inactive,Week4_27801/Inactive/Neomycin/FL_Week4_27801_E06_0.png,Week4_27801,E06
604,Okadaicacid0.006,Okadaicacid,Inactive,Week4_27801/Inactive/Okadaicacid/FL_Week4_27801_F06_0.png,Week4_27801,F06
605,Okadaicacid6e-05,Okadaicacid,Inactive,Week4_27801/Inactive/Okadaicacid/FL_Week4_27801_F10_0.png,Week4_27801,F10
606,Mitomycinc3.0,Mitomycinc,DNA,Week4_27801/DNA/Mitomycinc/FL_Week4_27801_G04_0.png,Week4_27801,G04
607,Caspaseinhibitor1(zvad)1.5,Caspaseinhibitor1(zvad),Inactive,Week4_27801/Inactive/Caspaseinhibitor1(zvad)/FL_Week4_27801_D06_0.png,Week4_27801,D06
608,Cyclohexamide0.015,Cyclohexamide,Inactive,Week4_27801/Inactive/Cyclohexamide/FL_Week4_27801_B10_0.png,Week4_27801,B10
609,Taxol0.3,Taxol,MT,Week4_27801/MT/Taxol/FL_Week4_27801_F02_0.png,Week4_27801,F02
610,Az2580.03,Az258,Inactive,Week4_27801/Inactive/Az258/FL_Week4_27801_C09_0.png,Week4_27801,C09
611,Az2581.0,Az258,Aurora,Week4_27801/Aurorakinaseinhibitor/Az258/FL_Week4_27801_C06_0.png,Week4_27801,C06
612,Taxol0.3,Taxol,MT,Week4_27801/MT/Taxol/FL_Week4_27801_G02_0.png,Week4_27801,G02
613,Taxol0.3,Taxol,MT,Week4_27801/MT/Taxol/FL_Week4_27801_E02_0.png,Week4_27801,E02
614,Mitomycinc0.003,Mitomycinc,Inactive,Week4_27801/Inactive/Mitomycinc/FL_Week4_27801_G10_0.png,Week4_27801,G10
615,Neomycin1.0,Neomycin,Inactive,Week4_27801/Inactive/Neomycin/FL_Week4_27801_E05_0.png,Week4_27801,E05
616,Cyclohexamide50.0,Cyclohexamide,Proteinsynthesis,Week4_27801/Proteinsynthesis/Cyclohexamide/FL_Week4_27801_B03_0.png,Week4_27801,B03
617,Neomycin0.01,Neomycin,Inactive,Week4_27801/Inactive/Neomycin/FL_Week4_27801_E09_0.png,Week4_27801,E09
618,Dmso0.0,Dmso,Inactive,Week4_27801/Inactive/Dmso/FL_Week4_27801_D02_0.png,Week4_27801,D02
619,Dmso0.0,Dmso,Inactive,Week4_27801/Inactive/Dmso/FL_Week4_27801_C02_0.png,Week4_27801,C02
620,Dmso0.0,Dmso,Inactive,Week8_38203/Inactive/Dmso/FL_Week8_38203_E11_0.png,Week8_38203,E11
621,Quercetin0.03,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G08_0.png,Week8_38203,G08
622,Nystatin0.1,Nystatin,Inactive,Week8_38203/Inactive/Nystatin/FL_Week8_38203_F07_0.png,Week8_38203,F07
623,Quercetin1.0,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G05_0.png,Week8_38203,G05
624,Nystatin0.03,Nystatin,Inactive,Week8_38203/Inactive/Nystatin/FL_Week8_38203_F08_0.png,Week8_38203,F08
625,"3,3'diaminobenzidine0.03","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E08_0.png",Week8_38203,E08
626,Taxol0.3,Taxol,MT,Week8_38203/MT/Taxol/FL_Week8_38203_D11_0.png,Week8_38203,D11
627,Leupeptin0.6,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B06_0.png,Week8_38203,B06
628,Cdk1inhibitoriii1.0,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D05_0.png,Week8_38203,D05
629,Quercetin10.0,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G03_0.png,Week8_38203,G03
630,"3,3'diaminobenzidine0.1","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E07_0.png",Week8_38203,E07
631,CPT0.1,CPT,Inactive,Week8_38203/Inactive/CPT/FL_Week8_38203_C07_0.png,Week8_38203,C07
632,Cdk1inhibitoriii0.1,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D07_0.png,Week8_38203,D07
633,Leupeptin0.06,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B08_0.png,Week8_38203,B08
634,"3,3'diaminobenzidine3.0","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E04_0.png",Week8_38203,E04
635,Quercetin0.3,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G06_0.png,Week8_38203,G06
636,"3,3'diaminobenzidine0.003","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E10_0.png",Week8_38203,E10
637,Leupeptin0.2,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B07_0.png,Week8_38203,B07
638,CPT10.0,CPT,DNA,Week8_38203/DNA/CPT/FL_Week8_38203_C03_0.png,Week8_38203,C03
639,Cdk1inhibitoriii10.0,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D03_0.png,Week8_38203,D03
640,Cdk1inhibitoriii0.01,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D09_0.png,Week8_38203,D09
641,Nystatin3.0,Nystatin,Inactive,Week8_38203/Inactive/Nystatin/FL_Week8_38203_F04_0.png,Week8_38203,F04
642,Cdk1inhibitoriii3.0,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D04_0.png,Week8_38203,D04
643,Leupeptin6.0,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B04_0.png,Week8_38203,B04
644,Cdk1inhibitoriii0.003,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D10_0.png,Week8_38203,D10
645,Nystatin0.01,Nystatin,Inactive,Week8_38203/Inactive/Nystatin/FL_Week8_38203_F09_0.png,Week8_38203,F09
646,Dmso0.0,Dmso,Inactive,Week8_38203/Inactive/Dmso/FL_Week8_38203_F11_0.png,Week8_38203,F11
647,Leupeptin0.02,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B09_0.png,Week8_38203,B09
648,Dmso0.0,Dmso,Inactive,Week8_38203/Inactive/Dmso/FL_Week8_38203_G11_0.png,Week8_38203,G11
649,Cdk1inhibitoriii0.03,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D08_0.png,Week8_38203,D08
650,"3,3'diaminobenzidine10.0","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E03_0.png",Week8_38203,E03
651,Leupeptin2.0,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B05_0.png,Week8_38203,B05
652,CPT0.03,CPT,Inactive,Week8_38203/Inactive/CPT/FL_Week8_38203_C08_0.png,Week8_38203,C08
653,Quercetin0.01,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G09_0.png,Week8_38203,G09
654,Taxol0.3,Taxol,MT,Week8_38203/MT/Taxol/FL_Week8_38203_B11_0.png,Week8_38203,B11
655,CPT0.003,CPT,Inactive,Week8_38203/Inactive/CPT/FL_Week8_38203_C10_0.png,Week8_38203,C10
656,Quercetin0.1,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G07_0.png,Week8_38203,G07
657,Dmso0.0,Dmso,Inactive,Week8_38203/Inactive/Dmso/FL_Week8_38203_B02_0.png,Week8_38203,B02
658,"3,3'diaminobenzidine0.3","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E06_0.png",Week8_38203,E06
659,Nystatin0.003,Nystatin,Inactive,Week8_38203/Inactive/Nystatin/FL_Week8_38203_F10_0.png,Week8_38203,F10
660,Quercetin3.0,Quercetin,Inactive,Week8_38203/Inactive/Quercetin/FL_Week8_38203_G04_0.png,Week8_38203,G04
661,Cdk1inhibitoriii0.3,Cdk1inhibitoriii,Inactive,Week8_38203/Inactive/Cdk1inhibitoriii/FL_Week8_38203_D06_0.png,Week8_38203,D06
662,Leupeptin0.006,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B10_0.png,Week8_38203,B10
663,Taxol0.3,Taxol,MT,Week8_38203/MT/Taxol/FL_Week8_38203_F02_0.png,Week8_38203,F02
664,CPT0.01,CPT,Inactive,Week8_38203/Inactive/CPT/FL_Week8_38203_C09_0.png,Week8_38203,C09
665,CPT0.3,CPT,DNA,Week8_38203/DNA/CPT/FL_Week8_38203_C06_0.png,Week8_38203,C06
666,Taxol0.3,Taxol,MT,Week8_38203/MT/Taxol/FL_Week8_38203_G02_0.png,Week8_38203,G02
667,Taxol0.3,Taxol,MT,Week8_38203/MT/Taxol/FL_Week8_38203_E02_0.png,Week8_38203,E02
668,"3,3'diaminobenzidine1.0","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E05_0.png",Week8_38203,E05
669,Leupeptin20.0,Leupeptin,Inactive,Week8_38203/Inactive/Leupeptin/FL_Week8_38203_B03_0.png,Week8_38203,B03
670,"3,3'diaminobenzidine0.01","3,3'diaminobenzidine",Inactive,"Week8_38203/Inactive/3,3'diaminobenzidine/FL_Week8_38203_E09_0.png",Week8_38203,E09
671,Taxol0.3,Taxol,MT,Week8_38203/MT/Taxol/FL_Week8_38203_C11_0.png,Week8_38203,C11
672,Dmso0.0,Dmso,Inactive,Week8_38203/Inactive/Dmso/FL_Week8_38203_D02_0.png,Week8_38203,D02
673,Dmso0.0,Dmso,Inactive,Week8_38203/Inactive/Dmso/FL_Week8_38203_C02_0.png,Week8_38203,C02
674,Sodiumbutyrate0.83,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G08_0.png,Week6_32121,G08
675,Acyclovir0.05,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F07_0.png,Week6_32121,F07
676,Sodiumbutyrate25.0,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G05_0.png,Week6_32121,G05
677,Acyclovir0.015,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F08_0.png,Week6_32121,F08
678,Atropine0.015,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E08_0.png,Week6_32121,E08
679,Acyclovir0.5,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F05_0.png,Week6_32121,F05
680,Taxol0.3,Taxol,MT,Week6_32121/MT/Taxol/FL_Week6_32121_D11_0.png,Week6_32121,D11
681,Calpaininhibitor2(allm)5.0,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D05_0.png,Week6_32121,D05
682,Sodiumbutyrate250.0,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G03_0.png,Week6_32121,G03
683,Atropine0.05,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E07_0.png,Week6_32121,E07
684,Taurocholate0.25,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C07_0.png,Week6_32121,C07
685,Taurocholate2.5,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C05_0.png,Week6_32121,C05
686,Calpaininhibitor2(allm)0.5,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D07_0.png,Week6_32121,D07
687,Podophyllotoxin3e-05,Podophyllotoxin,Inactive,Week6_32121/Inactive/Podophyllotoxin/FL_Week6_32121_B08_0.png,Week6_32121,B08
688,Atropine1.5,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E04_0.png,Week6_32121,E04
689,Sodiumbutyrate8.3,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G06_0.png,Week6_32121,G06
690,Atropine0.0015,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E10_0.png,Week6_32121,E10
691,Podophyllotoxin0.0001,Podophyllotoxin,Inactive,Week6_32121/Inactive/Podophyllotoxin/FL_Week6_32121_B07_0.png,Week6_32121,B07
692,Taurocholate25.0,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C03_0.png,Week6_32121,C03
693,Calpaininhibitor2(allm)50.0,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D03_0.png,Week6_32121,D03
694,Acyclovir5.0,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F03_0.png,Week6_32121,F03
695,Calpaininhibitor2(allm)0.05,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D09_0.png,Week6_32121,D09
696,Acyclovir1.5,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F04_0.png,Week6_32121,F04
697,Calpaininhibitor2(allm)15.0,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D04_0.png,Week6_32121,D04
698,Calpaininhibitor2(allm)0.015,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D10_0.png,Week6_32121,D10
699,Acyclovir0.005,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F09_0.png,Week6_32121,F09
700,Dmso0.0,Dmso,Inactive,Week6_32121/Inactive/Dmso/FL_Week6_32121_F11_0.png,Week6_32121,F11
701,Podophyllotoxin1e-05,Podophyllotoxin,Inactive,Week6_32121/Inactive/Podophyllotoxin/FL_Week6_32121_B09_0.png,Week6_32121,B09
702,Dmso0.0,Dmso,Inactive,Week6_32121/Inactive/Dmso/FL_Week6_32121_G11_0.png,Week6_32121,G11
703,Calpaininhibitor2(allm)0.15,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D08_0.png,Week6_32121,D08
704,Atropine5.0,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E03_0.png,Week6_32121,E03
705,Taurocholate0.083,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C08_0.png,Week6_32121,C08
706,Taurocholate8.3,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C04_0.png,Week6_32121,C04
707,Sodiumbutyrate0.25,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G09_0.png,Week6_32121,G09
708,Taxol0.3,Taxol,MT,Week6_32121/MT/Taxol/FL_Week6_32121_B11_0.png,Week6_32121,B11
709,Taurocholate0.0083,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C10_0.png,Week6_32121,C10
710,Sodiumbutyrate2.5,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G07_0.png,Week6_32121,G07
711,Atropine0.15,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E06_0.png,Week6_32121,E06
712,Acyclovir0.15,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F06_0.png,Week6_32121,F06
713,Acyclovir0.0015,Acyclovir,Inactive,Week6_32121/Inactive/Acyclovir/FL_Week6_32121_F10_0.png,Week6_32121,F10
714,Sodiumbutyrate83.0,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G04_0.png,Week6_32121,G04
715,Calpaininhibitor2(allm)1.5,Calpaininhibitor2(allm),Inactive,Week6_32121/Inactive/Calpaininhibitor2(allm)/FL_Week6_32121_D06_0.png,Week6_32121,D06
716,Podophyllotoxin3e-06,Podophyllotoxin,Inactive,Week6_32121/Inactive/Podophyllotoxin/FL_Week6_32121_B10_0.png,Week6_32121,B10
717,Taxol0.3,Taxol,MT,Week6_32121/MT/Taxol/FL_Week6_32121_F02_0.png,Week6_32121,F02
718,Taurocholate0.025,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C09_0.png,Week6_32121,C09
719,Taurocholate0.83,Taurocholate,Inactive,Week6_32121/Inactive/Taurocholate/FL_Week6_32121_C06_0.png,Week6_32121,C06
720,Taxol0.3,Taxol,MT,Week6_32121/MT/Taxol/FL_Week6_32121_G02_0.png,Week6_32121,G02
721,Taxol0.3,Taxol,MT,Week6_32121/MT/Taxol/FL_Week6_32121_E02_0.png,Week6_32121,E02
722,Sodiumbutyrate0.083,Sodiumbutyrate,Inactive,Week6_32121/Inactive/Sodiumbutyrate/FL_Week6_32121_G10_0.png,Week6_32121,G10
723,Atropine0.5,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E05_0.png,Week6_32121,E05
724,Atropine0.005,Atropine,Inactive,Week6_32121/Inactive/Atropine/FL_Week6_32121_E09_0.png,Week6_32121,E09
725,Taxol0.3,Taxol,MT,Week6_32121/MT/Taxol/FL_Week6_32121_C11_0.png,Week6_32121,C11
726,Dmso0.0,Dmso,Inactive,Week6_32121/Inactive/Dmso/FL_Week6_32121_D02_0.png,Week6_32121,D02
727,Dmso0.0,Dmso,Inactive,Week6_32121/Inactive/Dmso/FL_Week6_32121_C02_0.png,Week6_32121,C02
728,Dmso0.0,Dmso,Inactive,Week5_29301/Inactive/Dmso/FL_Week5_29301_E11_0.png,Week5_29301,E11
729,Sb2035800.03,Sb203580,Inactive,Week5_29301/Inactive/Sb203580/FL_Week5_29301_G08_0.png,Week5_29301,G08
730,Methoxylamine0.5,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F07_0.png,Week5_29301,F07
731,Sb2035801.0,Sb203580,Inactive,Week5_29301/Inactive/Sb203580/FL_Week5_29301_G05_0.png,Week5_29301,G05
732,Methoxylamine0.15,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F08_0.png,Week5_29301,F08
733,Aloisinea0.1,Aloisinea,Inactive,Week5_29301/Inactive/Aloisinea/FL_Week5_29301_E08_0.png,Week5_29301,E08
734,Methoxylamine5.0,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F05_0.png,Week5_29301,F05
735,Taxol0.3,Taxol,MT,Week5_29301/MT/Taxol/FL_Week5_29301_D11_0.png,Week5_29301,D11
736,"Ici182,7801.0","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B06_0.png",Week5_29301,B06
737,Azm3.0,Azm,Unknown,Week5_29301/Unknown/Azm/FL_Week5_29301_D05_0.png,Week5_29301,D05
738,Aloisinea0.3,Aloisinea,Inactive,Week5_29301/Inactive/Aloisinea/FL_Week5_29301_E07_0.png,Week5_29301,E07
739,Azl0.3,Azl,Inactive,Week5_29301/Inactive/Azl/FL_Week5_29301_C07_0.png,Week5_29301,C07
740,Azl3.0,Azl,Unknown,Week5_29301/Unknown/Azl/FL_Week5_29301_C05_0.png,Week5_29301,C05
741,Azm0.3,Azm,Inactive,Week5_29301/Inactive/Azm/FL_Week5_29301_D07_0.png,Week5_29301,D07
742,"Ici182,7800.1","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B08_0.png",Week5_29301,B08
743,Aloisinea10.0,Aloisinea,Inactive,Week5_29301/Inactive/Aloisinea/FL_Week5_29301_E04_0.png,Week5_29301,E04
744,Sb2035800.3,Sb203580,Inactive,Week5_29301/Inactive/Sb203580/FL_Week5_29301_G06_0.png,Week5_29301,G06
745,Aloisinea0.01,Aloisinea,Inactive,Week5_29301/Inactive/Aloisinea/FL_Week5_29301_E10_0.png,Week5_29301,E10
746,"Ici182,7800.3","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B07_0.png",Week5_29301,B07
747,Azl30.0,Azl,Inactive,Week5_29301/Inactive/Azl/FL_Week5_29301_C03_0.png,Week5_29301,C03
748,Azm30.0,Azm,Inactive,Week5_29301/Inactive/Azm/FL_Week5_29301_D03_0.png,Week5_29301,D03
749,Methoxylamine50.0,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F03_0.png,Week5_29301,F03
750,Azm0.03,Azm,Inactive,Week5_29301/Inactive/Azm/FL_Week5_29301_D09_0.png,Week5_29301,D09
751,Methoxylamine15.0,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F04_0.png,Week5_29301,F04
752,Azm10.0,Azm,Inactive,Week5_29301/Inactive/Azm/FL_Week5_29301_D04_0.png,Week5_29301,D04
753,"Ici182,78010.0","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B04_0.png",Week5_29301,B04
754,Azm0.01,Azm,Inactive,Week5_29301/Inactive/Azm/FL_Week5_29301_D10_0.png,Week5_29301,D10
755,Methoxylamine0.05,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F09_0.png,Week5_29301,F09
756,Dmso0.0,Dmso,Inactive,Week5_29301/Inactive/Dmso/FL_Week5_29301_F11_0.png,Week5_29301,F11
757,"Ici182,7800.03","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B09_0.png",Week5_29301,B09
758,Dmso0.0,Dmso,Inactive,Week5_29301/Inactive/Dmso/FL_Week5_29301_G11_0.png,Week5_29301,G11
759,Azm0.1,Azm,Unknown,Week5_29301/Unknown/Azm/FL_Week5_29301_D08_0.png,Week5_29301,D08
760,Aloisinea30.0,Aloisinea,Inactive,Week5_29301/Inactive/Aloisinea/FL_Week5_29301_E03_0.png,Week5_29301,E03
761,"Ici182,7803.0","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B05_0.png",Week5_29301,B05
762,Azl0.1,Azl,Inactive,Week5_29301/Inactive/Azl/FL_Week5_29301_C08_0.png,Week5_29301,C08
763,Sb2035800.01,Sb203580,Inactive,Week5_29301/Inactive/Sb203580/FL_Week5_29301_G09_0.png,Week5_29301,G09
764,Taxol0.3,Taxol,MT,Week5_29301/MT/Taxol/FL_Week5_29301_B11_0.png,Week5_29301,B11
765,Azl0.01,Azl,Inactive,Week5_29301/Inactive/Azl/FL_Week5_29301_C10_0.png,Week5_29301,C10
766,Sb2035800.1,Sb203580,Inactive,Week5_29301/Inactive/Sb203580/FL_Week5_29301_G07_0.png,Week5_29301,G07
767,Dmso0.0,Dmso,Inactive,Week5_29301/Inactive/Dmso/FL_Week5_29301_B02_0.png,Week5_29301,B02
768,Aloisinea1.0,Aloisinea,Inactive,Week5_29301/Inactive/Aloisinea/FL_Week5_29301_E06_0.png,Week5_29301,E06
769,Methoxylamine1.5,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F06_0.png,Week5_29301,F06
770,Methoxylamine0.015,Methoxylamine,Inactive,Week5_29301/Inactive/Methoxylamine/FL_Week5_29301_F10_0.png,Week5_29301,F10
771,Sb2035803.0,Sb203580,Inactive,Week5_29301/Inactive/Sb203580/FL_Week5_29301_G04_0.png,Week5_29301,G04
772,Azm1.0,Azm,Unknown,Week5_29301/Unknown/Azm/FL_Week5_29301_D06_0.png,Week5_29301,D06
773,"Ici182,7800.01","Ici182,780",Inactive,"Week5_29301/Inactive/Ici182,780/FL_Week5_29301_B10_0.png",Week5_29301,B10
774,Taxol0.3,Taxol,MT,Week5_29301/MT/Taxol/FL_Week5_29301_F02_0.png,Week5_29301,F02
775,Azl0.03,Azl,Inactive,Week5_29301/Inactive/Azl/FL_Week5_29301_C09_0.png,Week5_29301,C09
776,Azl1.0,Azl,Inactive,Week5_29301/Inactive/Azl/FL_Week5_29301_C06_0.png,Week5_29301,C06
777,Taxol0.3,Taxol,MT,Week5_29301/MT/Taxol/FL_Week5_29301_G02_0.png,Week5_29301,G02
778,Taxol0.3,Taxol,MT,Week5_29301/MT/Taxol/FL_Week5_29301_E02_0.png,Week5_29301,E02
